tconst,title_with_year,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt25966258,Premigala Gamanake (2025),Premigala Gamanake,Premigala Gamanake,2025,132,Romance,10.0,418
tt35587689,Withered (2020),Withered,Withered,2020,,Drama,10.0,153
tt38593367,A Fighting Legacy (2025),A Fighting Legacy,A Fighting Legacy,2025,74,Documentary,10.0,46
tt38582296,Psylibrium: A collection of Short Films by Sergiy Pudich (2025),Psylibrium: A collection of Short Films by Sergiy Pudich,Psylibrium: A collection of Short Films by Sergiy Pudich,2025,,"Comedy,Drama,Horror",10.0,27
tt26343142,The Art Whisperer (2023),The Art Whisperer,The Art Whisperer,2023,60,Documentary,10.0,17
tt38493090,Dabaghor (2025),Dabaghor,Dabaghor,2025,48,Thriller,10.0,14
tt36693357,Funérailles (Non ti voglio) (2024),Funérailles (Non ti voglio),Funérailles (Non ti voglio),2024,,"Drama,Thriller",10.0,13
tt38351228,El Temible Quemador (2025),El Temible Quemador,El Temible Quemador,2025,88,"Action,Crime,Drama",10.0,12
tt10222148,Silenced as mercury rises (2021),Silenced as mercury rises,Silenced as mercury rises,2021,,Documentary,10.0,11
tt33049391,YA tebya slyshu (2024),YA tebya slyshu,YA tebya slyshu,2024,60,Drama,10.0,10
tt0219865,El lambiscon verde (1991),El lambiscon verde,El lambiscon verde,1991,86,Comedy,10.0,9
tt32352503,The President and the Dragon (2024),The President and the Dragon,The President and the Dragon,2024,93,Documentary,10.0,9
tt6752818,At the End of the Santa Fe Trail (2025),At the End of the Santa Fe Trail,At the End of the Santa Fe Trail,2025,90,Drama,10.0,9
tt14246764,Chenai Mur Dhulia (2005),Chenai Mur Dhulia,Chenai Mur Dhulia,2005,,"Drama,Romance",10.0,8
tt32623257,Transpassing (2024),Transpassing,Transpassing,2024,,Drama,10.0,8
tt6352510,The Last Partera (2025),The Last Partera,The Last Partera,2025,90,Documentary,10.0,8
tt33328532,Running Milu Deer (2024),Running Milu Deer,Running Milu Deer,2024,104,"Drama,Family",10.0,7
